year,family,life_expectancy,freedom,government_corruption,generosity,dystopia_residual,gdp_per_capita,happiness_rank,happiness_score,country_id
2017,1.43133759498596,0.617144227027893,0.153997123241425,0.0644911229610443,0.0650196298956871,1.7895791009068507,1.12843120098114,82,5.25,23
2017,1.23837649822235,0.667464673519135,0.194989055395126,0.0881741940975189,0.197911024093628,1.7289555072784424,1.12112903594971,83,5.23699998855591,83
2017,0.774864435195923,0.59771066904068,0.408158332109451,0.0877631828188896,0.0322099551558495,2.456178978085514,0.878114581108093,84,5.2350001335144,92
2017,1.15240025520325,0.540775775909424,0.398155838251114,0.180987507104874,0.0452693402767181,1.7628097236156397,1.15360176563263,85,5.23400020599365,80
2017,1.40241670608521,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445,1.3198327943682702,1.07937383651733,86,5.23000001907349,98
2017,1.23941457271576,0.810198903083801,0.0957312509417534,0.04328977689147,0.0,1.7488782517611954,1.28948748111725,87,5.22700023651123,102
2017,1.12962424755096,0.735081076622009,0.288515985012054,0.037513829767704,0.264450758695602,1.6948264762759306,1.07498753070831,88,5.22499990463257,103
2017,1.36704301834106,0.795843541622162,0.498465299606323,0.0158694516867399,0.0951027125120163,1.1075008530169788,1.3151752948761,89,5.19500017166138,88
2017,1.0693359375,0.705186307430267,0.204403176903725,0.0,0.328867495059967,1.8917978256940886,0.982409417629242,90,5.18200016021729,96
2017,1.14394497871399,0.582569479942322,0.348079860210419,0.0733454525470734,0.236188873648643,2.0662984699010805,0.730573117733002,91,5.18100023269653,105
2017,1.20789301395416,0.644948184490204,0.325905978679657,0.0602777935564518,0.25376096367836,1.6176363192498675,1.06457793712616,92,5.17500019073486,93
2017,0.721151351928711,0.113989137113094,0.602126955986023,0.282410323619843,0.291631311178207,3.1170477587729657,0.0226431842893362,93,5.15100002288818,161
2017,1.27749133110046,0.652168989181519,0.571055591106415,0.0876332372426987,0.234968051314354,1.4621351063251486,0.788547575473785,94,5.07399988174438,75
2017,1.21577048301697,0.0569157302379608,0.394952565431595,0.0261215660721064,0.230947196483612,2.36553608439862,0.783756256103516,95,5.07399988174438,78
2017,1.27146327495575,0.529235124588013,0.471566706895828,0.146377146244049,0.248997643589973,1.8486463576555257,0.524713635444641,96,5.04099988937378,106
2017,1.34012651443481,0.495879292488098,0.501537680625916,0.173380389809608,0.474054545164108,1.1406053453683915,0.885416388511658,97,5.01100015640259,79
2017,1.39423859119415,0.553457796573639,0.454943388700485,0.0394391790032387,0.42858037352562,1.5371207818388997,0.596220076084137,98,5.00400018692017,77
2017,1.17928326129913,0.504130780696869,0.440305948257446,0.0729755461215973,0.394096165895462,1.8913879990577769,0.479820191860199,99,4.96199989318848,121
2017,1.4930112361908,0.557783484458923,0.394143968820572,0.0329022891819477,0.338464230298996,1.1114588491618518,1.02723586559296,100,4.95499992370605,100
2017,1.38478863239288,0.187080070376396,0.479246735572815,0.0725094974040985,0.139362379908562,1.511313974857328,1.05469870567322,101,4.8289999961853,113
2017,0.868351459503174,0.613212049007416,0.289680689573288,0.0867231488227844,0.0496933571994305,1.8900733180344078,1.00726580619812,102,4.80499982833862,107
2017,1.15564715862274,0.565666973590851,0.25471106171608,0.0892826020717621,0.114173173904419,1.8792698979377733,0.716249227523804,103,4.77500009536743,108
2017,0.997471392154694,0.520187258720398,0.282110154628754,0.114381365478039,0.128631442785263,1.70251671224832,0.989701807498932,104,4.7350001335144,135
2017,1.43437945842743,0.708217680454254,0.289231717586517,0.0110515309497714,0.113177694380283,0.9964830549433841,1.1614590883255,105,4.71400022506714,134
2017,0.984136044979095,0.0055647538974881,0.318697690963745,0.0710951760411263,0.293040901422501,2.6680446146056043,0.36842092871666,106,4.70900011062622,123
2017,0.946018218994141,0.132892116904259,0.430388748645782,0.0513066314160824,0.236298456788063,2.3337906338274506,0.564305365085602,107,4.69500017166138,133
2017,0.711551249027252,0.639333188533783,0.249322608113289,0.048761073499918,0.387242913246155,1.4989157728850833,1.15687310695648,108,4.69199991226196,110
2017,0.803685247898102,0.731159746646881,0.381498634815216,0.0398642159998417,0.201312944293022,1.4902865104377248,0.996192753314972,109,4.64400005340576,95
2017,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473,1.9786141812801339,0.586682975292206,110,4.60799980163574,109
2017,1.0984708070755,0.33861181139946,0.520303547382355,0.0931469723582268,0.0771337449550629,1.4818986728787378,0.964434325695038,111,4.57399988174438,163
2017,1.06795072555542,0.309988349676132,0.452763766050339,0.0646413192152977,0.444860309362411,1.6523160412907614,0.560479462146759,112,4.55299997329712,125
2017,0.870701014995575,0.106654435396194,0.480791091918945,0.179436385631561,0.322228103876114,2.3558835089206664,0.234305649995804,113,4.55000019073486,94
2017,1.12323594093323,0.397522568702698,0.514492034912109,0.188816204667091,0.838075160980225,1.115747615695002,0.367110550403595,114,4.54500007629395,129
2017,1.17969191074371,0.409362852573395,0.377922266721725,0.115460447967052,0.183468893170357,1.7897844538092662,0.479309022426605,115,4.53499984741211,142
2017,1.00318729877472,0.257835894823074,0.461603492498398,0.0782135501503944,0.249580144882202,1.8271727785468057,0.636406779289246,116,4.51399993896484,85
2017,0.978613197803497,0.501180469989777,0.288555532693863,0.107215754687786,0.19963726401329,1.3190875127911568,1.10271048545837,117,4.49700021743774,112
2017,1.1556202173233,0.356578588485718,0.312328577041626,0.0760467872023582,0.0437853783369064,1.3224303647875812,1.1982102394104,118,4.46500015258789,143
2017,0.86466920375824,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637,2.015738084912297,0.339233845472336,119,4.46000003814697,122
2017,1.25997638702393,0.625130832195282,0.561213254928589,0.0736539661884308,0.490863561630249,0.41931191086768926,1.00985014438629,120,4.44000005722046,132
2017,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,1.5219292622059553,0.900596737861633,121,4.37599992752075,127
2017,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.231538489460945,1.5192262157797813,0.792221248149872,122,4.31500005722046,117
2017,1.2720308303833,0.285349279642105,0.0960980430245399,0.136957004666328,0.201870024204254,1.6512373462319383,0.648457288742065,123,4.29199981689453,124
2017,0.832044363021851,0.28995743393898,0.435025870800018,0.0796181336045265,0.120852127671242,1.7245377078652386,0.808964252471924,124,4.29099988937378,139
2017,0.57061493396759,0.649546980857849,0.309410035610199,0.251666635274887,0.0540088154375553,1.5001397095620632,0.950612664222717,125,4.28599977493286,130
2017,1.22902345657349,0.191407024860382,0.235961347818375,0.0602413564920425,0.246455833315849,2.224808841943737,0.0921023488044739,126,4.28000020980835,120
2017,1.28147339820862,0.169365674257278,0.306613743305206,0.104970246553421,0.183354198932648,1.668042302131652,0.476180493831635,127,4.19000005722046,138
2017,0.904780030250549,0.0486421696841717,0.447706192731857,0.130061775445938,0.201237469911575,1.8445232696831209,0.603048920631409,128,4.17999982833862,151
2017,1.00623834133148,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,1.042808637022972,0.601765096187592,129,4.16800022125244,145
2017,1.21400856971741,0.290920823812485,0.0149958552792668,0.089847519993782,0.182317450642586,1.68739302735775,0.65951669216156,130,4.13899993896484,118
2017,0.873664736747742,0.295637726783752,0.423026293516159,0.0253363698720932,0.256923943758011,1.578185990452765,0.667224824428558,131,4.11999988555908,114
2017,1.39453756809235,0.575903952121735,0.122974775731564,0.0230294708162546,0.270061463117599,0.814841015264387,0.89465194940567,132,4.09600019454956,111
2017,1.12982773780823,0.217632606625557,0.443185955286026,0.057069718837738,0.325766056776047,1.5260870605707177,0.381430715322495,133,4.08099985122681,141
2017,1.04328000545502,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,1.72708744555711,0.3502277135849,134,4.03200006484985,152
2017,0.993025004863739,0.26850500702858,0.36365869641304,0.138572946190834,0.228673845529556,1.8736390471458462,0.161925330758095,135,4.02799987792969,144
2017,0.512568831443787,0.315089583396912,0.466914653778076,0.0727116540074348,0.287170469760895,2.0821027979254723,0.233442038297653,136,3.97000002861023,131
2017,0.953855872154236,0.0411347150802612,0.16234202682972,0.0535818822681904,0.216113850474358,2.0709587745368454,0.438012987375259,137,3.93600010871887,149
2017,1.08309590816498,0.196763753890991,0.336384207010269,0.0953753814101219,0.189143493771553,1.5983907207846633,0.375846534967422,138,3.875,115
2017,1.19009518623352,0.0,0.390661299228668,0.119094640016556,0.157497271895409,1.4296304434537923,0.521021246910095,139,3.80800008773804,97
2017,1.10441195964813,0.0498686656355858,0.0,0.0697203353047371,0.097926490008831,1.6146444454789233,0.858428180217743,140,3.79500007629395,137
2017,0.581543326377869,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2.1510243043303445,0.401477217674255,141,3.79399991035461,153
2017,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,0.37746739387512473,1.12209415435791,142,3.76600003242493,128
